"theta","tau"
0.508,0.152274407441501
0.509,0.152463075421021
0.51,0.152651489390355
0.511,0.152839649935856
0.512,0.153027557641893
0.513,0.153215213090865
0.514,0.153402616863204
0.515,0.153589769537388
0.516,0.153776671689948
0.517,0.153963323895478
0.518,0.154149726726641
0.519,0.154335880754183
0.52,0.154521786546936
0.521,0.154707444671829
0.522,0.154892855693898
0.523,0.155078020176292
0.524,0.155262938680282
0.525,0.15544761176527
0.526,0.155632039988799
0.527,0.155816223906558
0.528,0.15600016407239
0.529,0.156183861038307
0.53,0.156367315354487
0.531,0.156550527569292
0.532,0.156733498229273
0.533,0.156916227879174
0.534,0.157098717061945
0.535,0.15728096631875
0.536,0.15746297618897
0.537,0.157644747210217
0.538,0.157826279918335
0.539,0.158007574847416
0.54,0.158188632529801
0.541,0.158369453496088
0.542,0.158550038275144
0.543,0.158730387394111
0.544,0.158910501378411
0.545,0.159090380751754
0.546,0.15927002603615
0.547,0.15944943775191
0.548,0.159628616417659
0.549,0.159807562550338
0.55,0.159986276665216
0.551,0.160164759275895
0.552,0.160343010894318
0.553,0.160521032030774
0.554,0.160698823193909
0.555,0.160876384890729
0.556,0.16105371762661
0.557,0.161230821905306
0.558,0.161407698228949
0.559,0.161584347098067
0.56,0.16176076901158
0.561,0.161936964466814
0.562,0.162112933959506
0.563,0.16228867798381
0.564,0.162464197032302
0.565,0.162639491595992
0.566,0.162814562164326
0.567,0.162989409225194
0.568,0.163164033264938
0.569,0.163338434768357
0.57,0.163512614218712
0.571,0.163686572097737
0.572,0.163867538260846
0.573,0.164041031447711
0.574,0.164214304606435
0.575,0.164387358212045
0.576,0.164560192738072
0.577,0.164732808656563
0.578,0.164905206438086
0.579,0.165077386551733
0.58,0.165249349465129
0.581,0.165421095644436
0.582,0.165592625554363
